amount,name,image_url,details_url,registered_state,registered_city,make,model,year_of_manufacture,color,condition,mileage,engine_size,selling_condition,bought_condition,transmission_system
9000000,Audi Q7 2008 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163588689_MTgwLTEzNS1iYmY0YTAwMWY2LTE.jpg,https://www.cars45.com/jEY4wdZvahMXiKwdffJDk2Gl7yQONwE,Ogun State,Abeokuta North,Audi,Q7,2008.0,Black,Local Used,303498.0,3600.0,Registered,Imported,Automatic
3600000,Toyota Camry 2005 Gray,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163592929_MTgwLTEzNS1jMmZlYjVhYTA3LTE.jpg,https://www.cars45.com/jEY4wdZujGNIMdEc37tdaJkcuEh8iIz,Lagos State,Abule Egba,Toyota,Camry,2005.0,Gray,Local Used,309184.0,2400.0,Registered,Imported,Automatic
11250000,Honda Ridgeline 2006 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163533963_MTgwLTEzNS1hMzBlYjg3ZTFm.jpg,https://www.cars45.com/jEY4wdZPyDZTQbQ19NsoniA03jo9a3p,Abuja (FCT),Lugbe District,Honda,Ridgeline,2006.0,Black,Local Used,190226.0,3500.0,Registered,Registered,Automatic
16537500,Lexus RX 350 2010 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163582782_MTgwLTEzNi02OTU5MjVjMWI3LTE.jpg,https://www.cars45.com/jEY4wdZbHdFE0R1kidjIDVTcqqCylqT,Rivers State,Port-Harcourt,Lexus,RX 350,2010.0,Black,Local Used,109097.0,3500.0,Registered,Imported,Automatic
13626562,Nissan Pathfinder 2013 Gray,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163589212_MTgwLTEzNS1lOThmZjc4MWYzLTE.jpg,https://www.cars45.com/jEY4wdZBiQbFTiBX7uTXqwkNMHMK1y5,Lagos State,Surulere,Nissan,Pathfinder,2013.0,Gray,Foreign Used,18520.0,3500.0,Imported,Imported,Automatic
8437500,Toyota Camry 2010 Silver,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163555014_MTgwLTEzNS1jMDFlZTRhYTky.jpg,https://www.cars45.com/jEY4wdZxfm42agvlZG7Cw08KEHnvfgX,Oyo State,Ibadan,Toyota,Camry,2010.0,Silver,Local Used,106763.0,2500.0,Registered,Registered,Automatic
5175000,Toyota Matrix 2005 Blue,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163547481_MTgwLTEzNS1kZTNiOTc2MzIz.jpg,https://www.cars45.com/jEY4wdZOxtHCzzkOMPQmzLlAaRr4oWL,Oyo State,Ibadan,Toyota,Matrix,2005.0,Blue,Local Used,99999.0,1800.0,Registered,Registered,Automatic
8212500,Lexus RX 350 2008 Blue,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163588249_MTgwLTEzNS1lN2I5ZTRkZWRhLTE.jpg,https://www.cars45.com/jEY4wdZ9dgNvR3oLOPEe1sIPtTZOaPc,Lagos State,Kosofe,Lexus,RX 350,2008.0,Blue,Local Used,243568.0,3500.0,Registered,Registered,Automatic
8437500,Toyota Camry 2007 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163582325_MTgwLTEzNS02OWQ3Y2I2YzY4.jpg,https://www.cars45.com/jEY4wdZy8eYxKAHLluXIZ7jmfSutxVG,Ogun State,Abeokuta North,Toyota,Camry,2007.0,Black,Local Used,180184.0,2400.0,Registered,Registered,Automatic
5287500,Toyota Corolla 2006 Blue,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163539646_MTgwLTEzNS01NzY2Y2JhZmJh.jpg,https://www.cars45.com/jEY4wdZntwvrjo3HzgtKyu1sfDe9Cwe,Ogun State,Abeokuta North,Toyota,Corolla,2006.0,Blue,Local Used,359811.0,1800.0,Registered,Registered,Automatic
18000000,Hyundai Santa Fe 2013 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163591542_MTgwLTEzNS1lMTY3YzI5OGZh.jpg,https://www.cars45.com/jEY4wdZcaP3N6kmGhIRJ4OFcodKNfF3,Rivers State,Port-Harcourt,Hyundai,Santa Fe,2013.0,Black,Local Used,64757.0,2500.0,Registered,Registered,Automatic
4837500,Toyota Highlander 2003 Silver,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163537678_MTgwLTEzNS02YjlmODdhZjE1LTI.jpg,https://www.cars45.com/jEY4wdZjrs5GcR9558sMgDSiX75HCgZ,Abuja (FCT),Jabi,Toyota,Highlander,2003.0,Silver,Local Used,241467.0,3000.0,Registered,Registered,Automatic
6030000,Toyota Camry 2008 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163585518_MTgwLTE4MC01NzAyM2UzNWU5LTE.jpg,https://www.cars45.com/jEY4we00sFpwTItyrvAGJl8z3GUjkPy,Lagos State,Ikeja,Toyota,Camry,2008.0,Black,Local Used,46814.0,2400.0,Registered,Registered,Automatic
6187500,Toyota Corolla Verso 2004 Silver,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163551976_MTgwLTEzNS02Y2Q1Zjk5ZjEyLTE.jpg,https://www.cars45.com/jEY4wdZBC5UACptV44KN2QtVnJOiXys,Lagos State,Abule Egba,Toyota,Corolla Verso,2004.0,Silver,Local Used,183355.0,1800.0,Registered,Registered,AMT
7312500,Ford Edge 2008 Blue,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163579252_MTgwLTEzNS1hYTZkNDVkYTYw.jpg,https://www.cars45.com/jEY4wdZQ1w9Hht3IIn2bfoRSQrZLrMv,Lagos State,Amuwo-Odofin,Ford,Edge,2008.0,Blue,Local Used,237041.0,3500.0,Registered,Imported,Automatic
74250000,Toyota Highlander 2021 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163543727_MTgwLTEzNS1lN2E3MmRlZDA2.jpg,https://www.cars45.com/jEY4wdZExvXGMhL7vSSTBboeJiO91so,Lagos State,Amuwo-Odofin,Toyota,Highlander,2021.0,Black,Foreign Used,61855.0,3500.0,Imported,Brand new,Automatic
9225000,Lexus IS 2006 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163546962_MTgwLTEzNS0xNjEwMTNlZTMx.jpg,https://www.cars45.com/jEY4wdZuffwxNw33DExhNIsWAZuaXE7,Lagos State,Magodo,Lexus,IS,2006.0,Black,Local Used,309628.0,2500.0,Registered,Imported,Automatic
5310000,Toyota Sienna 2004 Gray,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163584450_MTgwLTEzNS02MmI5N2FlZTZkLTI.jpg,https://www.cars45.com/jEY4wdZmVZvyxQbtnGLrwTjgaKkMEKe,Lagos State,Ikeja,Toyota,Sienna,2004.0,Gray,Local Used,581795.0,3500.0,Registered,Imported,Automatic
3937500,Peugeot 407 2006 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163546486_MTgwLTEwMS1hMWNkODI5Yzk0.jpg,https://www.cars45.com/jEY4wdZOvaOOFS6LayENoV2TcGgqh3Q,Enugu State,Enugu,Peugeot,407,2006.0,Black,Local Used,227144.0,1800.0,Registered,Registered,Manual
5625000,Toyota Corolla 2011 Black,https://www.cars45.com/r/cGljdHVyZXMtbmlnZXJpYS5qaWppc3RhdGljLm5ldA/163583656_MTgwLTEzNS1mMGI3Mzg4ZjlkLTE.jpg,https://www.cars45.com/jEY4wdZM5c5I33wcNl11eIPjNL1TGJY,Lagos State,Ogba,Toyota,Corolla,2011.0,Black,Local Used,260422.0,,Registered,Brand new,Manual
